Opened the webpage: 2024-08-04 23:07:08
Page loaded: 2024-08-04 23:07:08
District folder '07 अमरावती' created or already exists: 2024-08-04 23:07:15
Taluka folder '13 चांदुर रे.' created or already exists: 2024-08-04 23:07:16
Plot info: {'Survey No.': '1', 'Total Area': '0.0000', 'Pot kharaba': '8.2600', 'Owner Name': 'कार्यकारी अभियंता बेंबळा प्रकल्प यवतमाळ', 'Khata No.': '1'}: 2024-08-04 23:07:22
Plot info: {'Survey No.': '10/2', 'Total Area': '0.0000', 'Pot kharaba': '2.4300', 'Owner Name': 'कार्यकारी अभियंता बेंबळा प्रकल्प यवतमाळ', 'Khata No.': '1'}: 2024-08-04 23:07:23
Plot info: {'Survey No.': '11', 'Total Area': '0.0000', 'Pot kharaba': '3.9400', 'Owner Name': 'कार्यकारी अभियंता बेंबळा प्रकल्प यवतमाळ', 'Khata No.': '1'}: 2024-08-04 23:07:24
Plot info: {'Survey No.': '12', 'Total Area': '0.0000', 'Pot kharaba': '5.7700', 'Owner Name': 'कार्यकारी अभियंता बेंबळा प्रकल्प यवतमाळ', 'Khata No.': '1'}: 2024-08-04 23:07:26
Plot info: {'Survey No.': '13', 'Total Area': '0.0000', 'Pot kharaba': '1.3400', 'Owner Name': 'कार्यकारी अभियंता बेंबळा प्रकल्प यवतमाळ', 'Khata No.': '1'}: 2024-08-04 23:07:27
Plot info: {'Survey No.': '14', 'Total Area': '0.0000', 'Pot kharaba': '1.0900', 'Owner Name': 'कार्यकारी अभियंता बेंबळा प्रकल्प यवतमाळ', 'Khata No.': '1'}: 2024-08-04 23:07:28
Plot info: {'Survey No.': '15', 'Total Area': '0.0000', 'Pot kharaba': '1.6200', 'Owner Name': 'कार्यकारी अभियंता बेंबळा प्रकल्प यवतमाळ', 'Khata No.': '1'}: 2024-08-04 23:07:28
Plot info: {'Survey No.': '16', 'Total Area': '0.0000', 'Pot kharaba': '1.3300', 'Owner Name': 'कार्यकारी अभियंता बेंबळा प्रकल्प यवतमाळ', 'Khata No.': '1'}: 2024-08-04 23:07:29
Plot info: {'Survey No.': '17', 'Total Area': '0.0000', 'Pot kharaba': '1.4200', 'Owner Name': 'कार्यकारी अभियंता बेंबळा प्रकल्प यवतमाळ', 'Khata No.': '1'}: 2024-08-04 23:07:31
Plot info: {'Survey No.': '18', 'Total Area': '0.0000', 'Pot kharaba': '3.7400', 'Owner Name': 'कार्यकारी अभियंता बेंबळा प्रकल्प यवतमाळ', 'Khata No.': '1'}: 2024-08-04 23:07:32
Plot info: {'Survey No.': '19/2', 'Total Area': '0.0000', 'Pot kharaba': '1.6200', 'Owner Name': 'कार्यकारी अभियंता बेंबळा प्रकल्प यवतमाळ', 'Khata No.': '1'}: 2024-08-04 23:07:33
Plot info: {'Survey No.': '2', 'Total Area': '0.0000', 'Pot kharaba': '5.6200', 'Owner Name': 'कार्यकारी अभियंता बेंबळा प्रकल्प यवतमाळ', 'Khata No.': '1'}: 2024-08-04 23:07:34
Plot info: {'Survey No.': '20', 'Total Area': '0.0000', 'Pot kharaba': '2.3500', 'Owner Name': 'कार्यकारी अभियंता बेंबळा प्रकल्प यवतमाळ', 'Khata No.': '1'}: 2024-08-04 23:07:35
Plot info: {'Survey No.': '21', 'Total Area': '0.0000', 'Pot kharaba': '5.4800', 'Owner Name': 'कार्यकारी अभियंता बेंबळा प्रकल्प यवतमाळ', 'Khata No.': '1'}: 2024-08-04 23:07:37
