Opened the webpage: 2024-08-05 18:14:28
Page loaded: 2024-08-05 18:14:28
District folder '07 अमरावती' created or already exists: 2024-08-05 18:14:34
Taluka folder '10 भातकुली' created or already exists: 2024-08-05 18:14:35
Plot info: {'Survey No.': '26', 'Total Area': '0.4100', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:15:24
Plot info: {'Survey No.': '27', 'Total Area': '3.9500', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:15:26
Plot info: {'Survey No.': '28/2', 'Total Area': '2.0600', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:15:27
Plot info: {'Survey No.': '29/3/ब', 'Total Area': '1.6700', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:15:28
Plot info: {'Survey No.': '3', 'Total Area': '0.4200', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:15:29
Plot info: {'Survey No.': '30', 'Total Area': '0.7200', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:15:30
Plot info: {'Survey No.': '31/3', 'Total Area': '0.5000', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:15:31
Plot info: {'Survey No.': '32', 'Total Area': '0.4000', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:15:32
Plot info: {'Survey No.': '33', 'Total Area': '1.6300', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:15:33
Plot info: {'Survey No.': '34', 'Total Area': '4.1600', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:15:33
Plot info: {'Survey No.': '35', 'Total Area': '0.7900', 'Pot kharaba': '0.0200', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:15:34
Plot info: {'Survey No.': '36', 'Total Area': '3.4300', 'Pot kharaba': '0.0300', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:15:38
Plot info: {'Survey No.': '37', 'Total Area': '0.3500', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:15:39
Plot info: {'Survey No.': '38/5', 'Total Area': '3.2900', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:15:40
Timeout waiting for plot info update on attempt 1/1: 2024-08-05 18:16:01
Plot info: {'Survey No.': '39/2/अ', 'Total Area': '1.6400', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:01
Plot info: {'Survey No.': '4', 'Total Area': '0.4600', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:03
Plot info: {'Survey No.': '40/4', 'Total Area': '0.7600', 'Pot kharaba': '0.0400', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:11
Plot info: {'Survey No.': '41/2/ब', 'Total Area': '0.8200', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:12
Plot info: {'Survey No.': '42', 'Total Area': '3.2400', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:13
Plot info: {'Survey No.': '43', 'Total Area': '2.0100', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:14
Plot info: {'Survey No.': '44/2', 'Total Area': '2.0200', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:15
