Opened the webpage: 2024-08-05 15:51:58
Page loaded: 2024-08-05 15:51:58
District folder '07 अमरावती' created or already exists: 2024-08-05 15:52:06
Taluka folder '10 भातकुली' created or already exists: 2024-08-05 15:52:09
Plot info: {'Survey No.': '117', 'Total Area': '1.7100', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्\u200dट्र शासन (वि.पा.वि.महामंडळ) नागपूर कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती.', 'Khata No.': '211'}: 2024-08-05 15:53:49
Plot info: {'Survey No.': '118', 'Total Area': '0.0000', 'Pot kharaba': '0.8200', 'Owner Name': 'महाराष्\u200dट्र शासन (वि.पा.वि.महामंडळ) नागपूर कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती.', 'Khata No.': '211'}: 2024-08-05 15:53:54
Plot info: {'Survey No.': '119', 'Total Area': '0.8100', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्\u200dट्र शासन (वि.पा.वि.महामंडळ) नागपूर कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती.', 'Khata No.': '211'}: 2024-08-05 15:54:00
Plot info: {'Survey No.': '12', 'Total Area': '0.0000', 'Pot kharaba': '0.8100', 'Owner Name': 'महाराष्\u200dट्र शासन (वि.पा.वि.महामंडळ) नागपूर कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती.', 'Khata No.': '211'}: 2024-08-05 15:54:08
Plot info: {'Survey No.': '120', 'Total Area': '1.2100', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्\u200dट्र शासन (वि.पा.वि.महामंडळ) नागपूर कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती.', 'Khata No.': '211'}: 2024-08-05 15:54:14
Plot info: {'Survey No.': '121', 'Total Area': '0.0000', 'Pot kharaba': '0.8100', 'Owner Name': 'महाराष्\u200dट्र शासन (वि.पा.वि.महामंडळ) नागपूर कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती.', 'Khata No.': '211'}: 2024-08-05 15:54:21
Plot info: {'Survey No.': '122', 'Total Area': '0.0900', 'Pot kharaba': '0.0000', 'Owner Name': 'मणिक उत्तमराव गडलिंग रा.अळणगाव', 'Khata No.': '90'}: 2024-08-05 15:54:24
Plot info: {'Survey No.': '123', 'Total Area': '0.0000', 'Pot kharaba': '1.2000', 'Owner Name': 'महाराष्\u200dट्र शासन (वि.पा.वि.महामंडळ) नागपूर कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती.', 'Khata No.': '211'}: 2024-08-05 15:54:27
Plot info: {'Survey No.': '124', 'Total Area': '2.0400', 'Pot kharaba': '0.1900', 'Owner Name': 'महाराष्\u200dट्र शासन (वि.पा.वि.महामंडळ) नागपूर कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती.', 'Khata No.': '211'}: 2024-08-05 15:54:30
Plot info: {'Survey No.': '125', 'Total Area': '1.2100', 'Pot kharaba': '0.0000', 'Owner Name': 'राजेश जनार्दन सगणे, सतीश जनार्दन सगणे, मंगेश जनार्दन सगणे', 'Khata No.': '403'}: 2024-08-05 15:54:33
Plot info: {'Survey No.': '126', 'Total Area': '1.3500', 'Pot kharaba': '0.0400', 'Owner Name': 'महाराष्\u200dट्र शासन (वि.पा.वि.महामंडळ) नागपूर कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती.', 'Khata No.': '211'}: 2024-08-05 15:54:38
Plot info: {'Survey No.': '127', 'Total Area': '2.1400', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्\u200dट्र शासन (वि.पा.वि.महामंडळ) नागपूर कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती.', 'Khata No.': '211'}: 2024-08-05 15:54:50
Plot info: {'Survey No.': '128', 'Total Area': '1.6700', 'Pot kharaba': '0.0500', 'Owner Name': 'महाराष्\u200dट्र शासन (वि.पा.वि.महामंडळ) नागपूर कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती.', 'Khata No.': '211'}: 2024-08-05 15:54:55
Plot info: {'Survey No.': '129', 'Total Area': '1.6700', 'Pot kharaba': '0.0500', 'Owner Name': 'महाराष्\u200dट्र शासन (वि.पा.वि.महामंडळ) नागपूर कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती.', 'Khata No.': '211'}: 2024-08-05 15:54:57
Plot info: {'Survey No.': '13', 'Total Area': '1.4100', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्\u200dट्र शासन (वि.पा.वि.महामंडळ) नागपूर कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती.', 'Khata No.': '211'}: 2024-08-05 15:55:08
Plot info: {'Survey No.': '130', 'Total Area': '0.0000', 'Pot kharaba': '1.7200', 'Owner Name': 'महाराष्\u200dट्र शासन (वि.पा.वि.महामंडळ) नागपूर कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती.', 'Khata No.': '211'}: 2024-08-05 15:55:12
Plot info: {'Survey No.': '131', 'Total Area': '1.6700', 'Pot kharaba': '0.0500', 'Owner Name': 'महाराष्\u200dट्र शासन (वि.पा.वि.महामंडळ) नागपूर कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती.', 'Khata No.': '211'}: 2024-08-05 15:55:17
Plot info: {'Survey No.': '132', 'Total Area': '0.5400', 'Pot kharaba': '0.0300', 'Owner Name': 'महाराष्\u200dट्र शासन (वि.पा.वि.महामंडळ) नागपूर कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती.', 'Khata No.': '211'}: 2024-08-05 15:55:21
Plot info: {'Survey No.': '133', 'Total Area': '0.8300', 'Pot kharaba': '0.0200', 'Owner Name': 'महाराष्\u200dट्र शासन (वि.पा.वि.महामंडळ) नागपूर कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती.', 'Khata No.': '211'}: 2024-08-05 15:55:24
Plot info: {'Survey No.': '134', 'Total Area': '1.3100', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्\u200dट्र शासन (वि.पा.वि.महामंडळ) नागपूर कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती.', 'Khata No.': '211'}: 2024-08-05 15:55:26
Plot info: {'Survey No.': '135', 'Total Area': '1.3100', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्\u200dट्र शासन (वि.पा.वि.महामंडळ) नागपूर कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती.', 'Khata No.': '211'}: 2024-08-05 15:55:30
Plot info: {'Survey No.': '136', 'Total Area': '0.8600', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्\u200dट्र शासन (वि.पा.वि.महामंडळ) नागपूर कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती.', 'Khata No.': '211'}: 2024-08-05 15:55:34
