Opened the webpage: 2024-08-05 00:41:43
Page loaded: 2024-08-05 00:41:43
District folder '07 अमरावती' created or already exists: 2024-08-05 00:41:49
Taluka folder '02 चिखलदरा' created or already exists: 2024-08-05 00:41:50
Plot info: {'Survey No.': '36', 'Total Area': '0.0000', 'Pot kharaba': '2.6500', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '21'}: 2024-08-05 00:42:20
Plot info: {'Survey No.': '4', 'Total Area': '0.0000', 'Pot kharaba': '4.7000', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '21'}: 2024-08-05 00:42:21
Plot info: {'Survey No.': '5', 'Total Area': '0.0000', 'Pot kharaba': '4.0300', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '21'}: 2024-08-05 00:42:22
Plot info: {'Survey No.': '6', 'Total Area': '0.0000', 'Pot kharaba': '2.0900', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '12'}: 2024-08-05 00:42:23
Plot info: {'Survey No.': '7', 'Total Area': '0.0000', 'Pot kharaba': '3.1400', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '21'}: 2024-08-05 00:42:24
Plot info: {'Survey No.': '8', 'Total Area': '0.0000', 'Pot kharaba': '3.0900', 'Owner Name': 'महाराष्ट्र शासन वनविभाग नाला', 'Khata No.': '13'}: 2024-08-05 00:42:25
Plot info: {'Survey No.': '9', 'Total Area': '0.0000', 'Pot kharaba': '1.5900', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '21'}: 2024-08-05 00:42:26
Village '270700020065780000 नागरटास' processed: 2024-08-05 00:42:26
Time taken for village '270700020065780000 नागरटास': 0:00:47.119892: 2024-08-05 00:42:26
Script completed for village '270700020065780000 नागरटास': 2024-08-05 00:42:29
