Opened the webpage: 2024-08-04 23:52:51
Page loaded: 2024-08-04 23:52:51
District folder '07 अमरावती' created or already exists: 2024-08-04 23:53:01
Taluka folder '02 चिखलदरा' created or already exists: 2024-08-04 23:53:02
Plot info: {'Survey No.': '1', 'Total Area': '0.0000', 'Pot kharaba': '4.5900', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '21'}: 2024-08-04 23:53:03
Plot info: {'Survey No.': '10', 'Total Area': '0.0000', 'Pot kharaba': '0.2600', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '21'}: 2024-08-04 23:53:05
Plot info: {'Survey No.': '11', 'Total Area': '0.0000', 'Pot kharaba': '1.3400', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '21'}: 2024-08-04 23:53:06
Plot info: {'Survey No.': '12', 'Total Area': '0.0000', 'Pot kharaba': '4.8800', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '31'}: 2024-08-04 23:53:07
Plot info: {'Survey No.': '13', 'Total Area': '0.0000', 'Pot kharaba': '2.1300', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '31'}: 2024-08-04 23:53:08
Plot info: {'Survey No.': '14', 'Total Area': '0.0000', 'Pot kharaba': '25.2400', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '21'}: 2024-08-04 23:53:09
Plot info: {'Survey No.': '15', 'Total Area': '0.0000', 'Pot kharaba': '2.1500', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभा्ग', 'Khata No.': '34'}: 2024-08-04 23:53:10
Plot info: {'Survey No.': '16', 'Total Area': '0.0000', 'Pot kharaba': '0.1600', 'Owner Name': 'महाराष्ट्र शासन वनविभाग रस्ता', 'Khata No.': '43'}: 2024-08-04 23:53:11
Plot info: {'Survey No.': '17', 'Total Area': '0.0000', 'Pot kharaba': '2.2300', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '21'}: 2024-08-04 23:53:12
Plot info: {'Survey No.': '19', 'Total Area': '0.0000', 'Pot kharaba': '11.4300', 'Owner Name': 'महराष्\u200dट्र शासन वनविभाग नदी', 'Khata No.': '24'}: 2024-08-04 23:53:13
Plot info: {'Survey No.': '2', 'Total Area': '0.0000', 'Pot kharaba': '0.5400', 'Owner Name': 'महाराष्ट्र शासन वनविभाग नाला', 'Khata No.': '37'}: 2024-08-04 23:53:14
Plot info: {'Survey No.': '20', 'Total Area': '0.0000', 'Pot kharaba': '1.8600', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '21'}: 2024-08-04 23:53:15
Plot info: {'Survey No.': '21', 'Total Area': '0.0000', 'Pot kharaba': '5.3500', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '31'}: 2024-08-04 23:53:16
Plot info: {'Survey No.': '22', 'Total Area': '0.0000', 'Pot kharaba': '1.7000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '21'}: 2024-08-04 23:53:17
Plot info: {'Survey No.': '23', 'Total Area': '0.0000', 'Pot kharaba': '4.5000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '31'}: 2024-08-04 23:53:18
Plot info: {'Survey No.': '24', 'Total Area': '0.0000', 'Pot kharaba': '2.1200', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '21'}: 2024-08-04 23:53:19
Plot info: {'Survey No.': '25', 'Total Area': '0.0000', 'Pot kharaba': '2.3000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '31'}: 2024-08-04 23:53:20
Plot info: {'Survey No.': '26', 'Total Area': '0.0000', 'Pot kharaba': '3.2200', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '31'}: 2024-08-04 23:53:21
Plot info: {'Survey No.': '27', 'Total Area': '0.0000', 'Pot kharaba': '1.0800', 'Owner Name': 'महाराष्ट्र शासन. वनविभाग नाला', 'Khata No.': '39'}: 2024-08-04 23:53:22
Plot info: {'Survey No.': '28', 'Total Area': '0.0000', 'Pot kharaba': '0.4400', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '21'}: 2024-08-04 23:53:24
Plot info: {'Survey No.': '29', 'Total Area': '0.0000', 'Pot kharaba': '3.8000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '31'}: 2024-08-04 23:53:25
Plot info: {'Survey No.': '3', 'Total Area': '0.0000', 'Pot kharaba': '0.1600', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '21'}: 2024-08-04 23:53:26
Plot info: {'Survey No.': '30', 'Total Area': '0.0000', 'Pot kharaba': '1.1900', 'Owner Name': 'महाराष्ट्र शासन वनविभाग नाला', 'Khata No.': '37'}: 2024-08-04 23:53:27
Plot info: {'Survey No.': '31', 'Total Area': '0.0000', 'Pot kharaba': '3.2000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '31'}: 2024-08-04 23:53:28
Plot info: {'Survey No.': '32', 'Total Area': '0.0000', 'Pot kharaba': '0.4400', 'Owner Name': 'महाराष्टृ शासन वनविभाग नाला', 'Khata No.': '42'}: 2024-08-04 23:53:29
Plot info: {'Survey No.': '33', 'Total Area': '0.0000', 'Pot kharaba': '3.1000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '31'}: 2024-08-04 23:53:30
Plot info: {'Survey No.': '34', 'Total Area': '0.0000', 'Pot kharaba': '0.4500', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '21'}: 2024-08-04 23:53:32
Plot info: {'Survey No.': '35', 'Total Area': '0.0000', 'Pot kharaba': '4.3100', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '21'}: 2024-08-04 23:53:33
Plot info: {'Survey No.': '36', 'Total Area': '0.0000', 'Pot kharaba': '5.6400', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '21'}: 2024-08-04 23:53:34
Plot info: {'Survey No.': '37', 'Total Area': '0.0000', 'Pot kharaba': '1.2600', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '31'}: 2024-08-04 23:53:35
Plot info: {'Survey No.': '38', 'Total Area': '0.0000', 'Pot kharaba': '8.2200', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '21'}: 2024-08-04 23:53:36
Plot info: {'Survey No.': '39', 'Total Area': '0.0000', 'Pot kharaba': '3.9700', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '31'}: 2024-08-04 23:53:37
Plot info: {'Survey No.': '4', 'Total Area': '0.0000', 'Pot kharaba': '3.9800', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '29'}: 2024-08-04 23:53:38
Plot info: {'Survey No.': '40/2', 'Total Area': '0.0000', 'Pot kharaba': '1.1700', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '41'}: 2024-08-04 23:53:39
Plot info: {'Survey No.': '41', 'Total Area': '0.0000', 'Pot kharaba': '2.1600', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '31'}: 2024-08-04 23:53:40
Plot info: {'Survey No.': '42', 'Total Area': '0.0000', 'Pot kharaba': '0.8700', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '21'}: 2024-08-04 23:53:42
Plot info: {'Survey No.': '43', 'Total Area': '0.0000', 'Pot kharaba': '2.5000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '31'}: 2024-08-04 23:53:43
Plot info: {'Survey No.': '44', 'Total Area': '0.0000', 'Pot kharaba': '3.5000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '31'}: 2024-08-04 23:53:44
Plot info: {'Survey No.': '45', 'Total Area': '0.0000', 'Pot kharaba': '1.9700', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '21'}: 2024-08-04 23:53:45
