Opened the webpage: 2024-08-05 00:23:23
Page loaded: 2024-08-05 00:23:23
District folder '07 अमरावती' created or already exists: 2024-08-05 00:23:30
Taluka folder '02 चिखलदरा' created or already exists: 2024-08-05 00:23:30
Plot info: {'Survey No.': '40', 'Total Area': '1.2100', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:25:56
Plot info: {'Survey No.': '41', 'Total Area': '2.7300', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:25:58
Plot info: {'Survey No.': '42', 'Total Area': '0.0000', 'Pot kharaba': '0.3600', 'Owner Name': 'महाराष्ट्र शासन वनविभाग मार्ग', 'Khata No.': '16'}: 2024-08-05 00:25:59
Plot info: {'Survey No.': '43', 'Total Area': '1.0000', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:26:01
Plot info: {'Survey No.': '44', 'Total Area': '0.6000', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:26:02
Plot info: {'Survey No.': '45', 'Total Area': '0.0000', 'Pot kharaba': '0.3400', 'Owner Name': 'म. शासन वनविभाग स्मशान', 'Khata No.': '20'}: 2024-08-05 00:26:04
Plot info: {'Survey No.': '46', 'Total Area': '0.3000', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:26:05
Plot info: {'Survey No.': '47', 'Total Area': '0.2400', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:26:07
Plot info: {'Survey No.': '48', 'Total Area': '0.7500', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:26:08
Plot info: {'Survey No.': '49', 'Total Area': '1.8400', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:26:09
Plot info: {'Survey No.': '5', 'Total Area': '1.0800', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:26:11
Plot info: {'Survey No.': '50', 'Total Area': '0.0000', 'Pot kharaba': '1.3900', 'Owner Name': 'म. शासन वनविभाग खळवाडी', 'Khata No.': '21'}: 2024-08-05 00:26:12
Plot info: {'Survey No.': '51/1', 'Total Area': '2.0000', 'Pot kharaba': '0.0000', 'Owner Name': 'फत्\u200dतु उमराव खडके', 'Khata No.': '27'}: 2024-08-05 00:26:14
Plot info: {'Survey No.': '52', 'Total Area': '0.0000', 'Pot kharaba': '0.5800', 'Owner Name': 'म. शासन वनविभाग जंगल', 'Khata No.': '18'}: 2024-08-05 00:26:15
Plot info: {'Survey No.': '53', 'Total Area': '0.0000', 'Pot kharaba': '3.1800', 'Owner Name': 'म. शासन वनविभाग जंगल', 'Khata No.': '18'}: 2024-08-05 00:26:17
Plot info: {'Survey No.': '54/ब', 'Total Area': '4.2700', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:26:19
Plot info: {'Survey No.': '55', 'Total Area': '3.0400', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:26:20
Plot info: {'Survey No.': '56', 'Total Area': '2.8800', 'Pot kharaba': '0.0000', 'Owner Name': 'वनविभा्ग . . .', 'Khata No.': '23'}: 2024-08-05 00:26:22
Plot info: {'Survey No.': '57', 'Total Area': '4.6000', 'Pot kharaba': '0.0000', 'Owner Name': 'वनविभा्ग . . .', 'Khata No.': '23'}: 2024-08-05 00:26:23
Plot info: {'Survey No.': '58', 'Total Area': '0.0000', 'Pot kharaba': '4.9500', 'Owner Name': 'म. शासन वनविभाग पडीत', 'Khata No.': '19'}: 2024-08-05 00:26:25
Plot info: {'Survey No.': '6', 'Total Area': '1.4200', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:26:28
Plot info: {'Survey No.': '7', 'Total Area': '4.8200', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:26:46
Plot info: {'Survey No.': '8', 'Total Area': '0.0000', 'Pot kharaba': '0.4700', 'Owner Name': 'महाराष्ट्र शासन वनविभाग मार्ग', 'Khata No.': '16'}: 2024-08-05 00:27:02
Plot info: {'Survey No.': '9', 'Total Area': '2.5200', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:27:21
Village '270700020066190000 चुर्णी' processed: 2024-08-05 00:27:40
Time taken for village '270700020066190000 चुर्णी': 0:04:20.693855: 2024-08-05 00:27:40
Script completed for village '270700020066190000 चुर्णी': 2024-08-05 00:27:42
