Opened the webpage: 2024-08-05 01:22:02
Page loaded: 2024-08-05 01:22:02
District folder '07 अमरावती' created or already exists: 2024-08-05 01:22:08
Taluka folder '02 चिखलदरा' created or already exists: 2024-08-05 01:22:09
Plot info: {'Survey No.': '38', 'Total Area': '0.3500', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:22:42
Plot info: {'Survey No.': '39', 'Total Area': '0.0000', 'Pot kharaba': '1.9600', 'Owner Name': 'महाराष्ट्र शासन वनविभाग रस्ता', 'Khata No.': '32'}: 2024-08-05 01:22:43
Plot info: {'Survey No.': '40', 'Total Area': '0.6200', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:22:44
Plot info: {'Survey No.': '41', 'Total Area': '0.0000', 'Pot kharaba': '0.0500', 'Owner Name': 'महाराष्ट्र शासन वनविभाग रस्ता', 'Khata No.': '32'}: 2024-08-05 01:22:45
Plot info: {'Survey No.': '42', 'Total Area': '0.0000', 'Pot kharaba': '0.1400', 'Owner Name': 'महाराष्ट्र शासन वनविभाग रस्ता', 'Khata No.': '32'}: 2024-08-05 01:22:46
Plot info: {'Survey No.': '43', 'Total Area': '0.0000', 'Pot kharaba': '0.0400', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '19'}: 2024-08-05 01:22:47
Plot info: {'Survey No.': '44', 'Total Area': '0.8900', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:22:48
Plot info: {'Survey No.': '45', 'Total Area': '1.5300', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:22:49
Plot info: {'Survey No.': '46', 'Total Area': '1.0100', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:22:50
Plot info: {'Survey No.': '47', 'Total Area': '0.0000', 'Pot kharaba': '0.2300', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '19'}: 2024-08-05 01:22:51
Plot info: {'Survey No.': '48', 'Total Area': '0.0000', 'Pot kharaba': '0.1100', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '19'}: 2024-08-05 01:22:52
Plot info: {'Survey No.': '5', 'Total Area': '0.4600', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:22:53
Plot info: {'Survey No.': '50', 'Total Area': '0.7600', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:22:54
Plot info: {'Survey No.': '51', 'Total Area': '0.0000', 'Pot kharaba': '1.6200', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '19'}: 2024-08-05 01:22:55
Plot info: {'Survey No.': '52', 'Total Area': '0.6000', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:22:56
Plot info: {'Survey No.': '53', 'Total Area': '1.6600', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:22:57
Plot info: {'Survey No.': '54', 'Total Area': '1.0300', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:22:57
Plot info: {'Survey No.': '55', 'Total Area': '0.0000', 'Pot kharaba': '0.3000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '19'}: 2024-08-05 01:22:58
Plot info: {'Survey No.': '56', 'Total Area': '0.0000', 'Pot kharaba': '2.0600', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '19'}: 2024-08-05 01:22:59
Plot info: {'Survey No.': '57', 'Total Area': '2.4900', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:23:00
Timeout waiting for plot info update on attempt 1/1: 2024-08-05 01:23:21
Plot info: {'Survey No.': '58', 'Total Area': '5.5600', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:23:21
