Opened the webpage: 2024-08-05 00:16:48
Page loaded: 2024-08-05 00:16:48
District folder '07 अमरावती' created or already exists: 2024-08-05 00:16:55
Taluka folder '02 चिखलदरा' created or already exists: 2024-08-05 00:16:56
Plot info: {'Survey No.': '37', 'Total Area': '0.0000', 'Pot kharaba': '3.6600', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '35'}: 2024-08-05 00:17:49
Plot info: {'Survey No.': '38/3', 'Total Area': '0.0000', 'Pot kharaba': '1.2100', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '35'}: 2024-08-05 00:17:50
Plot info: {'Survey No.': '39', 'Total Area': '0.0000', 'Pot kharaba': '2.2200', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '35'}: 2024-08-05 00:17:51
Plot info: {'Survey No.': '4', 'Total Area': '0.0000', 'Pot kharaba': '2.4000', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '3'}: 2024-08-05 00:17:52
Plot info: {'Survey No.': '40', 'Total Area': '0.0000', 'Pot kharaba': '2.4500', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '35'}: 2024-08-05 00:17:53
Plot info: {'Survey No.': '41', 'Total Area': '0.0000', 'Pot kharaba': '2.2300', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '35'}: 2024-08-05 00:17:54
Plot info: {'Survey No.': '42', 'Total Area': '0.0000', 'Pot kharaba': '2.9800', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '35'}: 2024-08-05 00:17:55
Plot info: {'Survey No.': '43', 'Total Area': '0.0000', 'Pot kharaba': '1.0400', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '35'}: 2024-08-05 00:17:56
Plot info: {'Survey No.': '44', 'Total Area': '0.0000', 'Pot kharaba': '0.3400', 'Owner Name': 'महाराष्ट्र शासन वनविभाग रस्ता', 'Khata No.': '29'}: 2024-08-05 00:17:57
Plot info: {'Survey No.': '45', 'Total Area': '0.0000', 'Pot kharaba': '0.4200', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '35'}: 2024-08-05 00:17:58
