Opened the webpage: 2024-08-05 01:32:51
Page loaded: 2024-08-05 01:32:51
District folder '07 अमरावती' created or already exists: 2024-08-05 01:32:57
Taluka folder '02 चिखलदरा' created or already exists: 2024-08-05 01:32:57
Plot info: {'Survey No.': '10', 'Total Area': '0.0000', 'Pot kharaba': '1.0800', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '27'}: 2024-08-05 01:33:04
Plot info: {'Survey No.': '11', 'Total Area': '0.0000', 'Pot kharaba': '0.1000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग नाला', 'Khata No.': '26'}: 2024-08-05 01:33:05
Plot info: {'Survey No.': '12', 'Total Area': '0.0000', 'Pot kharaba': '3.6500', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '27'}: 2024-08-05 01:33:05
Plot info: {'Survey No.': '13', 'Total Area': '0.0000', 'Pot kharaba': '0.2100', 'Owner Name': 'महाराष्ट्र शासन वनविभाग सडक', 'Khata No.': '25'}: 2024-08-05 01:33:06
Plot info: {'Survey No.': '14', 'Total Area': '0.0000', 'Pot kharaba': '4.1200', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '27'}: 2024-08-05 01:33:07
Plot info: {'Survey No.': '15', 'Total Area': '0.0000', 'Pot kharaba': '0.6400', 'Owner Name': 'महाराष्ट्र शासन वनविभाग नाला', 'Khata No.': '26'}: 2024-08-05 01:33:08
Plot info: {'Survey No.': '16', 'Total Area': '0.0000', 'Pot kharaba': '23.3000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '30'}: 2024-08-05 01:33:09
Plot info: {'Survey No.': '17', 'Total Area': '0.0000', 'Pot kharaba': '1.7700', 'Owner Name': 'महाराष्ट्र शासन वनविभाग नाला', 'Khata No.': '26'}: 2024-08-05 01:33:09
Timeout waiting for plot info update on attempt 1/1: 2024-08-05 01:33:30
Plot info: {'Survey No.': '18', 'Total Area': '0.0000', 'Pot kharaba': '5.4800', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '27'}: 2024-08-05 01:33:30
Plot info: {'Survey No.': '19', 'Total Area': '0.0000', 'Pot kharaba': '1.1800', 'Owner Name': 'महाराष्ट्र शासन वनविभाग नाला', 'Khata No.': '26'}: 2024-08-05 01:33:31
Plot info: {'Survey No.': '20', 'Total Area': '0.0000', 'Pot kharaba': '22.8900', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '27'}: 2024-08-05 01:33:32
Plot info: {'Survey No.': '21', 'Total Area': '0.0000', 'Pot kharaba': '0.0500', 'Owner Name': 'महाराष्ट्र शासन वनविभाग देवस्थान', 'Khata No.': '31'}: 2024-08-05 01:33:32
Plot info: {'Survey No.': '22', 'Total Area': '0.0000', 'Pot kharaba': '0.0500', 'Owner Name': 'महाराष्ट्र शासन वनविभाग रस्ता', 'Khata No.': '29'}: 2024-08-05 01:33:33
Plot info: {'Survey No.': '23', 'Total Area': '0.0000', 'Pot kharaba': '0.6800', 'Owner Name': 'महाराष्ट्र शासन वनविभाग रस्ता', 'Khata No.': '29'}: 2024-08-05 01:33:34
Plot info: {'Survey No.': '24', 'Total Area': '0.0000', 'Pot kharaba': '0.9200', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '11'}: 2024-08-05 01:33:35
Plot info: {'Survey No.': '25', 'Total Area': '0.0000', 'Pot kharaba': '0.6300', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '11'}: 2024-08-05 01:33:39
Plot info: {'Survey No.': '27', 'Total Area': '0.0000', 'Pot kharaba': '0.4100', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '27'}: 2024-08-05 01:33:40
Plot info: {'Survey No.': '28', 'Total Area': '0.0000', 'Pot kharaba': '0.8000', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '11'}: 2024-08-05 01:33:41
Plot info: {'Survey No.': '29', 'Total Area': '0.0000', 'Pot kharaba': '0.3300', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '8'}: 2024-08-05 01:33:42
Plot info: {'Survey No.': '3', 'Total Area': '0.0000', 'Pot kharaba': '53.9200', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '27'}: 2024-08-05 01:33:43
Plot info: {'Survey No.': '30', 'Total Area': '0.0000', 'Pot kharaba': '3.1400', 'Owner Name': 'महाराष्ट्र शासन वनविभाग गोठाण', 'Khata No.': '32'}: 2024-08-05 01:33:44
Plot info: {'Survey No.': '31', 'Total Area': '0.0000', 'Pot kharaba': '0.0900', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '8'}: 2024-08-05 01:33:45
Plot info: {'Survey No.': '32', 'Total Area': '0.0000', 'Pot kharaba': '0.0100', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '27'}: 2024-08-05 01:33:45
Plot info: {'Survey No.': '33', 'Total Area': '0.0000', 'Pot kharaba': '0.6400', 'Owner Name': 'महाराष्ट्र शासन वनविभाग गावठाण', 'Khata No.': '33'}: 2024-08-05 01:33:46
Plot info: {'Survey No.': '34', 'Total Area': '0.0000', 'Pot kharaba': '0.0200', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '27'}: 2024-08-05 01:33:47
Plot info: {'Survey No.': '35', 'Total Area': '0.0000', 'Pot kharaba': '0.0700', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '27'}: 2024-08-05 01:33:48
Plot info: {'Survey No.': '36', 'Total Area': '0.0000', 'Pot kharaba': '0.0200', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '8'}: 2024-08-05 01:33:49
Plot info: {'Survey No.': '38', 'Total Area': '0.0000', 'Pot kharaba': '0.0400', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '9'}: 2024-08-05 01:33:51
Plot info: {'Survey No.': '39', 'Total Area': '0.0000', 'Pot kharaba': '0.0300', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '22'}: 2024-08-05 01:33:52
Plot info: {'Survey No.': '4', 'Total Area': '0.0000', 'Pot kharaba': '0.1300', 'Owner Name': 'महाराष्ट्र शासन वनविभाग सडक', 'Khata No.': '25'}: 2024-08-05 01:33:53
Plot info: {'Survey No.': '40', 'Total Area': '0.0000', 'Pot kharaba': '0.0200', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '10'}: 2024-08-05 01:33:54
Plot info: {'Survey No.': '41', 'Total Area': '0.0000', 'Pot kharaba': '0.0200', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '13'}: 2024-08-05 01:33:55
Plot info: {'Survey No.': '42', 'Total Area': '0.0000', 'Pot kharaba': '0.0400', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '18'}: 2024-08-05 01:33:56
Plot info: {'Survey No.': '43', 'Total Area': '0.0000', 'Pot kharaba': '0.1000', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '16'}: 2024-08-05 01:33:57
Plot info: {'Survey No.': '44', 'Total Area': '0.0000', 'Pot kharaba': '0.0900', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '4'}: 2024-08-05 01:33:58
Plot info: {'Survey No.': '45', 'Total Area': '0.0000', 'Pot kharaba': '0.3500', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '27'}: 2024-08-05 01:33:59
Plot info: {'Survey No.': '46', 'Total Area': '0.0000', 'Pot kharaba': '1.5600', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '23'}: 2024-08-05 01:34:00
Plot info: {'Survey No.': '47', 'Total Area': '0.0000', 'Pot kharaba': '1.8800', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '14'}: 2024-08-05 01:34:01
Plot info: {'Survey No.': '48', 'Total Area': '0.0000', 'Pot kharaba': '1.6000', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '3'}: 2024-08-05 01:34:02
Plot info: {'Survey No.': '49', 'Total Area': '0.0000', 'Pot kharaba': '5.4800', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '16'}: 2024-08-05 01:34:03
Plot info: {'Survey No.': '5', 'Total Area': '0.0000', 'Pot kharaba': '0.3000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग सडक', 'Khata No.': '25'}: 2024-08-05 01:34:04
Plot info: {'Survey No.': '50', 'Total Area': '0.0000', 'Pot kharaba': '1.4600', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '23'}: 2024-08-05 01:34:05
Plot info: {'Survey No.': '51', 'Total Area': '0.0000', 'Pot kharaba': '1.4800', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '18'}: 2024-08-05 01:34:06
Plot info: {'Survey No.': '52', 'Total Area': '0.0000', 'Pot kharaba': '1.6400', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '4'}: 2024-08-05 01:34:07
Plot info: {'Survey No.': '53', 'Total Area': '0.0000', 'Pot kharaba': '1.0700', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '21'}: 2024-08-05 01:34:08
Plot info: {'Survey No.': '54', 'Total Area': '0.0000', 'Pot kharaba': '2.8800', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '34'}: 2024-08-05 01:34:09
Plot info: {'Survey No.': '55', 'Total Area': '0.0000', 'Pot kharaba': '0.8400', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '27'}: 2024-08-05 01:34:10
Plot info: {'Survey No.': '56', 'Total Area': '0.0000', 'Pot kharaba': '1.4000', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '17'}: 2024-08-05 01:34:11
Plot info: {'Survey No.': '57', 'Total Area': '0.0000', 'Pot kharaba': '2.4600', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '13'}: 2024-08-05 01:34:12
Plot info: {'Survey No.': '58', 'Total Area': '0.0000', 'Pot kharaba': '2.6000', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '23'}: 2024-08-05 01:34:14
Plot info: {'Survey No.': '59', 'Total Area': '0.0000', 'Pot kharaba': '22.7100', 'Owner Name': 'महाराष्ट्र शासन वनविभाग नदी', 'Khata No.': '36'}: 2024-08-05 01:34:15
Plot info: {'Survey No.': '6', 'Total Area': '0.0000', 'Pot kharaba': '0.3000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग सडक', 'Khata No.': '25'}: 2024-08-05 01:34:16
Plot info: {'Survey No.': '60', 'Total Area': '0.0000', 'Pot kharaba': '2.2200', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '22'}: 2024-08-05 01:34:17
